<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2014.01.15	57.79	58.57	57.27	57.42	4550	0	0
2014.01.16	57.41	58.02	56.83	57.27	4794	0	0
2014.01.17	57.32	57.82	56.07	56.33	4849	0	0
2014.01.21	56.50	58.59	56.30	58.50	5659	0	0
2014.01.22	58.41	59.31	57.10	57.63	5954	0	0
2014.01.23	57.51	57.63	55.69	56.74	5684	0	0
2014.01.24	56.66	56.71	54.02	54.04	6446	0	0
2014.01.27	54.13	55.15	51.85	53.10	9177	0	0
2014.01.28	53.81	55.49	53.41	55.49	6714	0	0
2014.01.29	55.50	60.20	53.05	60.01	19363	0	0
2014.01.30	60.26	63.95	59.29	60.97	17058	0	0
2014.01.31	60.54	63.37	59.84	62.78	8262	0	0
2014.02.03	62.75	63.77	60.70	61.89	10017	0	0
2014.02.04	61.51	63.14	61.48	62.55	6737	0	0
2014.02.05	62.54	63.16	60.45	61.00	9747	0	0
2014.02.06	61.23	62.78	60.94	62.02	7448	0	0
2014.02.07	62.02	64.57	61.37	64.36	6877	0	0
2014.02.10	64.60	64.90	63.47	63.55	4785	0	0
2014.02.11	63.95	65.00	63.35	64.78	5592	0	0
2014.02.12	64.78	65.30	64.05	64.43	4993	0	0
2014.02.13	64.43	67.50	63.94	67.49	5967	0	0
2014.02.14	66.80	67.80	66.72	67.14	4797	0	0
2014.02.18	67.27	67.54	66.07	67.12	4988	0	0
2014.02.19	67.02	69.08	64.18	66.24	11680	0	0
2014.02.20	66.10	70.11	65.16	69.64	14071	0	0
2014.02.21	69.63	70.32	68.45	68.55	7671	0	0
2014.02.24	68.75	71.44	67.99	70.72	7152	0	0
2014.02.25	70.98	71.10	69.45	69.87	6107	0	0
2014.02.26	70.13	71.22	68.85	69.31	7026	0	0
2014.02.27	69.51	70.01	68.87	68.99	5838	0	0
2014.02.28	69.20	69.88	67.38	68.03	7292	0	0
2014.03.03	67.55	68.46	66.50	67.49	7369	0	0
2014.03.04	67.89	69.00	67.41	68.99	6069	0	0
2014.03.05	69.10	71.97	68.76	71.56	6381	0	0
2014.03.06	72.08	72.08	70.25	70.91	5020	0	0
2014.03.07	70.72	71.44	69.47	69.72	5154	0	0
2014.03.10	69.14	72.15	69.14	72.10	6050	0	0
